scene_id,object_id,source_row_index,object_name,object_category,object_image_path,included,sampling_seed,sampling_pass,category_size,source_csv_sha256
kitchen,kitchen_0004,4,KA-F600_Fan_V1,range hood,request_log_kitchen/request_images/object_inference/20260821T080505609755Z_4d50049f_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0005,5,fryingpan,frying pan,request_log_kitchen/request_images/object_inference/20260821T080505487644Z_3b16d3ff_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0007,7,KA_CoffeeMaker_V1,coffee maker,request_log_kitchen/request_images/object_inference/20260821T080517927402Z_fd58675e_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0015,15,Cube (3),microwave,request_log_kitchen/request_images/object_inference/20260821T080551878371Z_5103acb7_9_iso1.jpg,1,s2t-study1-v1,1,5,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0019,19,Cube (2),room,request_log_kitchen/request_images/object_inference/20260821T080607932346Z_80de6b22_9_iso1.jpg,1,s2t-study1-v1,1,4,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0020,20,Cube,miniature oven,request_log_kitchen/request_images/object_inference/20260821T080611308070Z_c176e2b0_9_iso1.jpg,1,s2t-study1-v1,1,1,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0021,21,egrdg,miniature room,request_log_kitchen/request_images/object_inference/20260821T080614984035Z_35a1c6d5_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0022,22,Floor,floor,request_log_kitchen/request_images/object_inference/20260821T080618148138Z_171a229a_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0023,23,Cube.001,countertop,request_log_kitchen/request_images/object_inference/20260821T080622303360Z_9164c44c_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0024,24,KA-F600_Stove_V1,stove,request_log_kitchen/request_images/object_inference/20260821T080625298011Z_b86d8f2e_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
